time,solar
2021-06-11 14:25:00,823.8
2021-06-11 14:30:00,796.2
2021-06-11 14:35:00,903.4
2021-06-11 14:40:00,889.8
2021-06-11 14:45:00,898.6
2021-06-11 14:50:00,587.4
2021-06-11 14:55:00,814.4
2021-06-11 15:00:00,865.6
2021-06-11 15:05:00,754.8
2021-06-11 15:10:00,609.6
2021-06-11 15:15:00,860.2
2021-06-11 15:20:00,485.4
2021-06-11 15:25:00,160.0
2021-06-11 15:30:00,735.8
2021-06-11 15:35:00,380.8
2021-06-11 15:40:00,664.0
2021-06-11 15:45:00,606.8
2021-06-11 15:50:00,164.2
2021-06-11 15:55:00,760.4
2021-06-11 16:00:00,787.0
2021-06-11 16:05:00,752.0
2021-06-11 16:10:00,766.0
2021-06-11 16:15:00,759.8
2021-06-11 16:20:00,637.2
2021-06-11 16:25:00,711.8
2021-06-11 16:30:00,693.0
2021-06-11 16:35:00,677.8
2021-06-11 16:40:00,318.4
2021-06-11 16:45:00,677.6
2021-06-11 16:50:00,651.4
2021-06-11 16:55:00,552.8
2021-06-11 17:00:00,323.4
2021-06-11 17:05:00,385.6
2021-06-11 17:10:00,595.6
2021-06-11 17:15:00,478.6
2021-06-11 17:20:00,495.8
2021-06-11 17:25:00,303.6
2021-06-11 17:30:00,601.2
2021-06-11 17:35:00,453.0
2021-06-11 17:40:00,395.8
2021-06-11 17:45:00,492.6
2021-06-11 17:50:00,483.8
2021-06-11 17:55:00,382.4
2021-06-11 18:00:00,414.6
2021-06-11 18:05:00,445.6
2021-06-11 18:10:00,437.0
2021-06-11 18:15:00,419.2
2021-06-11 18:20:00,391.4
2021-06-11 18:25:00,336.8
2021-06-11 18:30:00,336.8
2021-06-11 18:35:00,314.6
2021-06-11 18:40:00,321.0
2021-06-11 18:45:00,317.8
2021-06-11 18:50:00,279.0
2021-06-11 18:55:00,279.8
2021-06-11 19:00:00,257.2
2021-06-11 19:05:00,207.6
2021-06-11 19:10:00,186.0
2021-06-11 19:15:00,193.0
2021-06-11 19:20:00,165.4
2021-06-11 19:25:00,142.4
2021-06-11 19:30:00,152.2
2021-06-11 19:35:00,146.6
2021-06-11 19:40:00,142.6
2021-06-11 19:45:00,133.0
2021-06-11 19:50:00,143.0
2021-06-11 19:55:00,121.6
2021-06-11 20:00:00,100.0
2021-06-11 20:05:00,75.6
2021-06-11 20:10:00,61.8
2021-06-11 20:15:00,61.4
2021-06-11 20:20:00,56.0
2021-06-11 20:25:00,38.6
2021-06-11 20:30:00,33.0
2021-06-11 20:35:00,28.4
2021-06-11 20:40:00,32.6
2021-06-11 20:45:00,38.2
2021-06-11 20:50:00,30.6
2021-06-11 20:55:00,20.8
2021-06-11 21:00:00,16.2
2021-06-11 21:05:00,11.2
2021-06-11 21:10:00,7.6
2021-06-11 21:15:00,4.8
2021-06-11 21:20:00,2.0
2021-06-11 21:25:00,0.0
2021-06-11 21:30:00,0.0
2021-06-11 21:35:00,0.0
2021-06-11 21:40:00,0.0
2021-06-11 21:45:00,0.0
2021-06-11 21:50:00,0.0
2021-06-11 21:55:00,0.0
2021-06-11 22:00:00,0.0
2021-06-11 22:05:00,0.0
2021-06-11 22:10:00,0.0
2021-06-11 22:15:00,0.0
2021-06-11 22:20:00,0.0
2021-06-11 22:25:00,0.0
2021-06-11 22:30:00,0.0
2021-06-11 22:35:00,0.0
2021-06-11 22:40:00,0.0
2021-06-11 22:45:00,0.0
2021-06-11 22:50:00,0.0
2021-06-11 22:55:00,0.0
2021-06-11 23:00:00,0.0
2021-06-11 23:05:00,0.0
2021-06-11 23:10:00,0.0
2021-06-11 23:15:00,0.0
2021-06-11 23:20:00,0.0
2021-06-11 23:25:00,0.0
2021-06-11 23:30:00,0.0
2021-06-11 23:35:00,0.0
2021-06-11 23:40:00,0.0
2021-06-11 23:45:00,0.0
2021-06-11 23:50:00,0.0
2021-06-11 23:55:00,0.0
2021-06-12 00:00:00,0.0
2021-06-12 00:05:00,0.0
2021-06-12 00:10:00,0.0
2021-06-12 00:15:00,0.0
2021-06-12 00:20:00,0.0
2021-06-12 00:25:00,0.0
2021-06-12 00:30:00,0.0
2021-06-12 00:35:00,0.0
2021-06-12 00:40:00,0.0
2021-06-12 00:45:00,0.0
2021-06-12 00:50:00,0.0
2021-06-12 00:55:00,0.0
2021-06-12 01:00:00,0.0
2021-06-12 01:05:00,0.0
2021-06-12 01:10:00,0.0
2021-06-12 01:15:00,0.0
2021-06-12 01:20:00,0.0
2021-06-12 01:25:00,0.0
2021-06-12 01:30:00,0.0
2021-06-12 01:35:00,0.0
2021-06-12 01:40:00,0.0
2021-06-12 01:45:00,0.0
2021-06-12 01:50:00,0.0
2021-06-12 01:55:00,0.0
2021-06-12 02:00:00,0.0
2021-06-12 02:05:00,0.0
2021-06-12 02:10:00,0.0
2021-06-12 02:15:00,0.0
2021-06-12 02:20:00,0.0
2021-06-12 02:25:00,0.0
2021-06-12 02:30:00,0.0
2021-06-12 02:35:00,0.0
2021-06-12 02:40:00,0.0
2021-06-12 02:45:00,0.0
2021-06-12 02:50:00,0.0
2021-06-12 02:55:00,0.0
2021-06-12 03:00:00,0.0
2021-06-12 03:05:00,0.0
2021-06-12 03:10:00,0.0
2021-06-12 03:15:00,0.0
2021-06-12 03:20:00,0.0
2021-06-12 03:25:00,0.0
2021-06-12 03:30:00,0.0
2021-06-12 03:35:00,0.0
2021-06-12 03:40:00,0.0
2021-06-12 03:45:00,0.0
2021-06-12 03:50:00,0.0
2021-06-12 03:55:00,0.0
2021-06-12 04:00:00,0.0
2021-06-12 04:05:00,0.0
2021-06-12 04:10:00,0.0
2021-06-12 04:15:00,0.0
2021-06-12 04:20:00,0.0
2021-06-12 04:25:00,0.0
2021-06-12 04:30:00,0.0
2021-06-12 04:35:00,0.0
2021-06-12 04:40:00,0.0
2021-06-12 04:45:00,0.0
2021-06-12 04:50:00,0.0
2021-06-12 04:55:00,1.6
2021-06-12 05:00:00,2.8
2021-06-12 05:05:00,4.4
2021-06-12 05:10:00,5.6
2021-06-12 05:15:00,6.4
2021-06-12 05:20:00,8.4
2021-06-12 05:25:00,10.4
2021-06-12 05:30:00,13.4
2021-06-12 05:35:00,17.6
2021-06-12 05:40:00,27.0
2021-06-12 05:45:00,35.4
2021-06-12 05:50:00,34.4
2021-06-12 05:55:00,37.0
2021-06-12 06:00:00,43.0
2021-06-12 06:05:00,55.0
2021-06-12 06:10:00,69.8
2021-06-12 06:15:00,83.8
2021-06-12 06:20:00,92.8
2021-06-12 06:25:00,100.0
2021-06-12 06:30:00,108.0
2021-06-12 06:35:00,109.4
2021-06-12 06:40:00,124.6
2021-06-12 06:45:00,133.2
2021-06-12 06:50:00,141.0
2021-06-12 06:55:00,139.0
2021-06-12 07:00:00,144.6
2021-06-12 07:05:00,140.0
2021-06-12 07:10:00,147.6
2021-06-12 07:15:00,184.4
2021-06-12 07:20:00,188.6
2021-06-12 07:25:00,229.4
2021-06-12 07:30:00,237.6
2021-06-12 07:35:00,234.0
2021-06-12 07:40:00,203.0
2021-06-12 07:45:00,237.8
2021-06-12 07:50:00,313.6
2021-06-12 07:55:00,254.6
2021-06-12 08:00:00,172.2
2021-06-12 08:05:00,119.6
2021-06-12 08:10:00,89.6
2021-06-12 08:15:00,76.6
2021-06-12 08:20:00,60.8
2021-06-12 08:25:00,46.2
2021-06-12 08:30:00,40.2
2021-06-12 08:35:00,68.8
2021-06-12 08:40:00,99.8
2021-06-12 08:45:00,105.0
2021-06-12 08:50:00,97.8
2021-06-12 08:55:00,112.8
2021-06-12 09:00:00,150.8
2021-06-12 09:05:00,174.2
2021-06-12 09:10:00,217.2
2021-06-12 09:15:00,258.6
2021-06-12 09:20:00,249.6
2021-06-12 09:25:00,243.4
2021-06-12 09:30:00,191.0
2021-06-12 09:35:00,196.4
2021-06-12 09:40:00,179.0
2021-06-12 09:45:00,169.2
2021-06-12 09:50:00,135.2
2021-06-12 09:55:00,118.8
2021-06-12 10:00:00,170.8
2021-06-12 10:05:00,173.0
2021-06-12 10:10:00,178.0
2021-06-12 10:15:00,167.6
2021-06-12 10:20:00,151.8
2021-06-12 10:25:00,161.6
2021-06-12 10:30:00,197.0
2021-06-12 10:35:00,237.4
2021-06-12 10:40:00,249.2
2021-06-12 10:45:00,292.4
2021-06-12 10:50:00,279.0
2021-06-12 10:55:00,217.6
2021-06-12 11:00:00,277.6
2021-06-12 11:05:00,279.2
2021-06-12 11:10:00,270.2
2021-06-12 11:15:00,146.2
2021-06-12 11:20:00,90.8
2021-06-12 11:25:00,58.8
2021-06-12 11:30:00,55.2
2021-06-12 11:35:00,50.0
2021-06-12 11:40:00,42.0
2021-06-12 11:45:00,22.6
2021-06-12 11:50:00,44.4
2021-06-12 11:55:00,122.0
2021-06-12 12:00:00,106.0
2021-06-12 12:05:00,103.6
2021-06-12 12:10:00,122.2
2021-06-12 12:15:00,111.2
2021-06-12 12:20:00,159.6
2021-06-12 12:25:00,160.0
2021-06-12 12:30:00,150.8
2021-06-12 12:35:00,190.6
2021-06-12 12:40:00,290.4
2021-06-12 12:45:00,444.8
2021-06-12 12:50:00,575.2
2021-06-12 12:55:00,513.0
2021-06-12 13:00:00,470.4
2021-06-12 13:05:00,456.2
2021-06-12 13:10:00,551.6
2021-06-12 13:15:00,461.8
2021-06-12 13:20:00,424.6
2021-06-12 13:25:00,458.8
2021-06-12 13:30:00,366.2
2021-06-12 13:35:00,279.0
2021-06-12 13:40:00,254.4
2021-06-12 13:45:00,348.2
2021-06-12 13:50:00,338.8
2021-06-12 13:55:00,334.6
2021-06-12 14:00:00,321.0
2021-06-12 14:05:00,277.2
2021-06-12 14:10:00,176.6
2021-06-12 14:15:00,142.0
2021-06-12 14:20:00,183.6
2021-06-12 14:25:00,59.4
2021-06-12 14:30:00,73.2
2021-06-12 14:35:00,116.8
2021-06-12 14:40:00,84.6
2021-06-12 14:45:00,44.4
2021-06-12 14:50:00,118.0
2021-06-12 14:55:00,139.4
2021-06-12 15:00:00,132.0
2021-06-12 15:05:00,85.2
2021-06-12 15:10:00,55.0
2021-06-12 15:15:00,75.0
2021-06-12 15:20:00,84.6
2021-06-12 15:25:00,86.2
2021-06-12 15:30:00,165.6
2021-06-12 15:35:00,118.2
2021-06-12 15:40:00,146.8
2021-06-12 15:45:00,159.8
2021-06-12 15:50:00,208.4
2021-06-12 15:55:00,489.8
2021-06-12 16:00:00,475.6
2021-06-12 16:05:00,336.0
2021-06-12 16:10:00,505.8
2021-06-12 16:15:00,324.6
2021-06-12 16:20:00,91.0
2021-06-12 16:25:00,50.6
2021-06-12 16:30:00,71.0
2021-06-12 16:35:00,139.4
2021-06-12 16:40:00,131.8
2021-06-12 16:45:00,83.2
2021-06-12 16:50:00,86.4
2021-06-12 16:55:00,75.6
2021-06-12 17:00:00,120.8
2021-06-12 17:05:00,200.2
2021-06-12 17:10:00,320.8
2021-06-12 17:15:00,535.6
2021-06-12 17:20:00,426.6
2021-06-12 17:25:00,350.0
2021-06-12 17:30:00,528.2
2021-06-12 17:35:00,528.0
2021-06-12 17:40:00,513.2
2021-06-12 17:45:00,531.0
2021-06-12 17:50:00,505.2
2021-06-12 17:55:00,490.4
2021-06-12 18:00:00,380.2
2021-06-12 18:05:00,461.4
2021-06-12 18:10:00,451.0
2021-06-12 18:15:00,383.2
2021-06-12 18:20:00,322.2
2021-06-12 18:25:00,412.0
2021-06-12 18:30:00,391.6
2021-06-12 18:35:00,345.4
2021-06-12 18:40:00,351.4
2021-06-12 18:45:00,335.4
2021-06-12 18:50:00,225.0
2021-06-12 18:55:00,208.8
2021-06-12 19:00:00,108.0
2021-06-12 19:05:00,248.6
2021-06-12 19:10:00,241.6
2021-06-12 19:15:00,143.0
2021-06-12 19:20:00,134.8
2021-06-12 19:25:00,106.6
2021-06-12 19:30:00,136.0
2021-06-12 19:35:00,98.6
2021-06-12 19:40:00,77.0
2021-06-12 19:45:00,108.0
2021-06-12 19:50:00,144.0
2021-06-12 19:55:00,91.4
2021-06-12 20:00:00,88.2
2021-06-12 20:05:00,83.4
2021-06-12 20:10:00,74.2
2021-06-12 20:15:00,49.8
2021-06-12 20:20:00,39.8
2021-06-12 20:25:00,42.6
2021-06-12 20:30:00,41.4
2021-06-12 20:35:00,37.6
2021-06-12 20:40:00,26.0
2021-06-12 20:45:00,28.0
2021-06-12 20:50:00,29.0
2021-06-12 20:55:00,24.8
2021-06-12 21:00:00,18.0
2021-06-12 21:05:00,14.6
2021-06-12 21:10:00,11.0
2021-06-12 21:15:00,7.8
2021-06-12 21:20:00,5.4
2021-06-12 21:25:00,3.4
2021-06-12 21:30:00,2.0
2021-06-12 21:35:00,0.8
2021-06-12 21:40:00,0.0
2021-06-12 21:45:00,0.0
2021-06-12 21:50:00,0.0
2021-06-12 21:55:00,0.0
2021-06-12 22:00:00,0.0
2021-06-12 22:05:00,0.0
2021-06-12 22:10:00,0.0
2021-06-12 22:15:00,0.0
2021-06-12 22:20:00,0.0
2021-06-12 22:25:00,0.0
2021-06-12 22:30:00,0.0
2021-06-12 22:35:00,0.0
2021-06-12 22:40:00,0.0
2021-06-12 22:45:00,0.0
2021-06-12 22:50:00,0.0
2021-06-12 22:55:00,0.0
2021-06-12 23:00:00,0.0
2021-06-12 23:05:00,0.0
2021-06-12 23:10:00,0.0
2021-06-12 23:15:00,0.0
2021-06-12 23:20:00,0.0
2021-06-12 23:25:00,0.0
2021-06-12 23:30:00,0.0
2021-06-12 23:35:00,0.0
2021-06-12 23:40:00,0.0
2021-06-12 23:45:00,0.0
2021-06-12 23:50:00,0.0
2021-06-12 23:55:00,0.0
2021-06-13 00:00:00,0.0
2021-06-13 00:05:00,0.0
2021-06-13 00:10:00,0.0
2021-06-13 00:15:00,0.0
2021-06-13 00:20:00,0.0
2021-06-13 00:25:00,0.0
2021-06-13 00:30:00,0.0
2021-06-13 00:35:00,0.0
2021-06-13 00:40:00,0.0
2021-06-13 00:45:00,0.0
2021-06-13 00:50:00,0.0
2021-06-13 00:55:00,0.0
2021-06-13 01:00:00,0.0
2021-06-13 01:05:00,0.0
2021-06-13 01:10:00,0.0
2021-06-13 01:15:00,0.0
2021-06-13 01:20:00,0.0
2021-06-13 01:25:00,0.0
2021-06-13 01:30:00,0.0
2021-06-13 01:35:00,0.0
2021-06-13 01:40:00,0.0
2021-06-13 01:45:00,0.0
2021-06-13 01:50:00,0.0
2021-06-13 01:55:00,0.0
2021-06-13 02:00:00,0.0
2021-06-13 02:05:00,0.0
2021-06-13 02:10:00,0.0
2021-06-13 02:15:00,0.0
2021-06-13 02:20:00,0.0
2021-06-13 02:25:00,0.0
2021-06-13 02:30:00,0.0
2021-06-13 02:35:00,0.0
2021-06-13 02:40:00,0.0
2021-06-13 02:45:00,0.0
2021-06-13 02:50:00,0.0
2021-06-13 02:55:00,0.0
2021-06-13 03:00:00,0.0
2021-06-13 03:05:00,0.0
2021-06-13 03:10:00,0.0
2021-06-13 03:15:00,0.0
2021-06-13 03:20:00,0.0
2021-06-13 03:25:00,0.0
2021-06-13 03:30:00,0.0
2021-06-13 03:35:00,0.0
2021-06-13 03:40:00,0.0
2021-06-13 03:45:00,0.0
2021-06-13 03:50:00,0.0
2021-06-13 03:55:00,0.0
2021-06-13 04:00:00,0.0
2021-06-13 04:05:00,0.0
2021-06-13 04:10:00,0.0
2021-06-13 04:15:00,0.0
2021-06-13 04:20:00,0.0
2021-06-13 04:25:00,0.0
2021-06-13 04:30:00,1.2
2021-06-13 04:35:00,2.8
2021-06-13 04:40:00,3.4
2021-06-13 04:45:00,4.6
2021-06-13 04:50:00,6.6
2021-06-13 04:55:00,8.4
